activityID	activity	allocation	date	loginUser_id	year_id	compID_id	currency_id	projectID_id	subcompID_id
105	Construction of  storage facility  at Fajara NAWEC T&D Department	0.00	2025-01-14 14:42:03.7417730 +00:00	5	18	10	2	ADF-16 and TSF-	37
106	NAWEC development support  ( capacity building)	0.00	2025-01-14 14:47:04.9233630 +00:00	5	18	12	2	ADF-16 and TSF-	39
107	Prepare a Gender Action Plan for GERMP	730954.00	2025-01-23 12:54:12.6706690 +00:00	5	18	3	2	D309& D6530 -GM	8
108	Conduct Gender Based Violence Mapping exercise	3650000.00	2025-02-11 14:39:36.6833950 +00:00	5	18	3	1	D309& D6530 -GM	8
109	Conduct Annual Audit for the 2022 financial year	82899.00	2025-02-11 14:44:03.1538610 +00:00	5	18	3	2	D309& D6530 -GM	9
110	Prepare an energy sector roadmap and masterplan	637050.00	2025-02-11 15:51:59.4260730 +00:00	5	18	3	2	D309& D6530 -GM	10
111	Conduct sanitation studies in the GBA (Banjul and Kotu)	239000.00	2025-02-11 16:27:14.8594410 +00:00	5	18	4	4	D309& D6530 -GM	22
112	Conduct Energy Audit for the Water Business and Sanitation	202465.00	2025-02-26 12:49:13.9609210 +00:00	5	18	4	4	D309& D6530 -GM	20
113	Facilitate the implementation of EA recommendations (procurement of materials for short term interventions)	221115.50	2025-02-26 13:13:46.2721740 +00:00	5	18	4	4	D309& D6530 -GM	22
114	Fencing of 10 existing borehole perimeters	442887973.00	2025-02-27 13:57:35.4620730 +00:00	5	18	4	1	D309& D6530 -GM	19
115	Procure equipment for the WBU – Generator and Excavator	473000.00	2025-02-27 14:01:03.2117670 +00:00	5	18	4	2	D309& D6530 -GM	18
116	Network Extension in Bijilo area-Procurement of pipe materials for systems improvement.	150000.00	2025-02-27 14:03:53.0232900 +00:00	5	18	4	2	D309& D6530 -GM	18
117	Conduct network extension for water at the Nyambi Kala Estate	4209909.00	2025-02-27 14:05:18.6955830 +00:00	5	18	4	2	D309& D6530 -GM	19
