type_of_investment	Kpi_description	monitoring_Type_Code	date	loginUser_id	monitoring_type_id	project_id
Prepare an energy sector roadmap and masterplan	Disbursement rate for Energy sector roadmap and masterplan preparation	GERMP-MP-RodMaP	2025-03-17 11:53:19.1791180 +00:00	2	Tech	D309& D6530 -GM
Provisions for performance contract Auditor for NAWEC KPI	Disbursement rate for Performance Auditor for NAWEC(MAI)	GERMP-nawec-KPI	2025-03-17 11:52:00.3914020 +00:00	2	Tech	D309& D6530 -GM
Recruit a non-revenue Water Consultant	Disbursement rate for consultant on Non-Revenue Water (NRW)	GERMP-NRW	2025-03-17 12:11:03.9683910 +00:00	2	Tech	D309& D6530 -GM
Conduct network extension for water at the Nyambi Kala Estate	Disbursement rate for network extension for water at the Nyambi Kala Estate Conducted (Hydro Tech Engineering)	GERMP-Nyambikal	2025-03-17 12:29:11.8623360 +00:00	2	Tech	D309& D6530 -GM
Provisions for Electricity Owners Engineer Management support to the project	Disbursement rate for Electricity Owners Engineer Management support to the project recruited (MAI)	GERMP-OE-MAI	2025-03-17 11:57:33.0338150 +00:00	2	Tech	D309& D6530 -GM
Provisions for Water Owner’s Engineer for the supervision of the project	Disbursement rate for Water Owner’s Engineer for the supervision of the project recruited (Royal Haskoning )	GERMP-OE-Water	2025-03-17 12:00:24.7172540 +00:00	2	Tech	D309& D6530 -GM
Construction of additional Bay at OMVG Brikama	Bay at OMVG brikama Substation constructed	GERMP-OMVG	2025-03-31 18:00:21.9183140 +00:00	5	Tec	D309& D6530 -GM
Prepare an Energy policy for the Ministry of Petroleum and Energy	Disbursement rate for Energy policy preparation for MoPE	GERMP-policy	2025-03-17 11:54:57.3372830 +00:00	2	Tech	D309& D6530 -GM
Procurement and supply of Personal Protection Equipment (PPEs)	Disbursement rate for procurement of PPEs	GERMP-PPEs	2025-03-17 11:50:46.3542870 +00:00	2	Tech	D309& D6530 -GM
Prepayment electricity meters and accessories -Phase 2	Disbursement rate for 30,000 prepayment electricity meters procurement(Phase 2)	GERMP-PRE-ELMet	2025-03-17 11:32:44.6979700 +00:00	2	Tech	D309& D6530 -GM
Electricity and Accessories -Phase 2	Number of Electricity and Accessories Meters Procured	GERMP-PrepayMet	2025-03-31 18:21:06.0898150 +00:00	5	proc	D309& D6530 -GM
Conduct sanitation studies in the GBA (Banjul and Kotu)	Disbursement rate for sanitation studies for the GBA	GERMP-Sanit-Stu	2025-03-17 11:58:47.6545240 +00:00	2	Tech	D309& D6530 -GM
Installation of SCADA National Control Centre at Brikama,	National SCADA center constructed	GERMPScada	2025-03-31 17:50:13.2214390 +00:00	5	Tec	D309& D6530 -GM
Design, supply and construction of 6 intervention boreholes and associated infrastructure: Lot2 6 boreholes in Provinces	Disbursement rate for intervention boreholes and associated infrastructure in the provinces (SINCO   SPA)	GERMP-Sinco	2025-03-17 12:17:41.6173770 +00:00	2	Tech	D309& D6530 -GM
